40440B  ORTDE(FILSYS-SYMBOLS)
40450B  DECIM(FILSYS-SYMBOLS)
40473B  DECIT(FILSYS-SYMBOLS)
40521B  MDDEC(FILSYS-SYMBOLS)
40606B  ORTDD(FILSYS-SYMBOLS)
40616B  DDECI(FILSYS-SYMBOLS)
40652B  MTWOD(FILSYS-SYMBOLS)
40704B  TWODE(FILSYS-SYMBOLS)
40730B  OUTRC(FILSYS-SYMBOLS)
41013B  OUTST(FILSYS-SYMBOLS)
41022B  SRTOU(FILSYS-SYMBOLS)
41071B  OUTTX(FILSYS-SYMBOLS)
41141B  MDATE(FILSYS-SYMBOLS)
41234B  LDATE(FILSYS-SYMBOLS)
41266B  LACCW(FILSYS-SYMBOLS)
41411B  INSTR(FILSYS-SYMBOLS)
41413B  STRNG(FILSYS-SYMBOLS)
41521B  APPST(FILSYS-SYMBOLS)
41552B  COMPS(FILSYS-SYMBOLS)
41712B  RDUMP(FILSYS-SYMBOLS)
41723B  BDUMP(FILSYS-SYMBOLS)
41732B  DUMP(FILSYS-SYMBOLS)
42003B  CHANG(FILSYS-SYMBOLS)
42237B  SEPST(FILSYS-SYMBOLS)
42440B  SEPPA(FILSYS-SYMBOLS)
42622B  SEPFS(FILSYS-SYMBOLS)
43100B  SEPUS(FILSYS-SYMBOLS)
43221B  DDIRN(FILSYS-SYMBOLS)
43233B  DOLDD(FILSYS-SYMBOLS)
43247B  DNEWD(FILSYS-SYMBOLS)
43263B  DDEVN(FILSYS-SYMBOLS)
43273B  DLOGU(FILSYS-SYMBOLS)
43303B  SDLOG(FILSYS-SYMBOLS)
43315B  DFRFL(FILSYS-SYMBOLS)
43334B  DUSEN(FILSYS-SYMBOLS)
43343B  DSPAC(FILSYS-SYMBOLS)
43355B  DNUSE(FILSYS-SYMBOLS)
43366B  DUSEI(FILSYS-SYMBOLS)
43376B  DPASS(FILSYS-SYMBOLS)
43405B  DOPAS(FILSYS-SYMBOLS)
43416B  DNPAS(FILSYS-SYMBOLS)
43427B  DFRIN(FILSYS-SYMBOLS)
43437B  DACCE(FILSYS-SYMBOLS)
43465B  DFNAM(FILSYS-SYMBOLS)
43474B  DFSNA(FILSYS-SYMBOLS)
43503B  DPAGE(FILSYS-SYMBOLS)
43517B  DNFIL(FILSYS-SYMBOLS)
43535B  DDVNU(FILSYS-SYMBOLS)
43551B  DPACC(FILSYS-SYMBOLS)
43603B  DFACC(FILSYS-SYMBOLS)
43635B  DOACC(FILSYS-SYMBOLS)
43665B  DOBJI(FILSYS-SYMBOLS)
43676B  DACCM(FILSYS-SYMBOLS)
43722B  DFNUM(FILSYS-SYMBOLS)
43735B  DBLSZ(FILSYS-SYMBOLS)
43750B  DBYTP(FILSYS-SYMBOLS)
43764B  DBLOP(FILSYS-SYMBOLS)
43775B  DOUTF(FILSYS-SYMBOLS)
44000B  NSPIT(FILSYS-SYMBOLS)
44005B  DSOUD(FILSYS-SYMBOLS)
44020B  DDESD(FILSYS-SYMBOLS)
44035B  DSOUF(FILSYS-SYMBOLS)
44045B  DDESF(FILSYS-SYMBOLS)
44060B  DSDEV(FILSYS-SYMBOLS)
44074B  SCDEV(FILSYS-SYMBOLS)
44105B  DPFNA(FILSYS-SYMBOLS)
44122B  DNUCO(FILSYS-SYMBOLS)
44135B  BFAD(FILSYS-SYMBOLS)
