123122B  XRESU(XMSG-SYMBOL-LIST)
123131B  XREST(XMSG-SYMBOL-LIST)
123272B  XRDPR(XMSG-SYMBOL-LIST)
123341B  ZSAPT(XMSG-SYMBOL-LIST)
123363B  YTRAN(XMSG-SYMBOL-LIST)
123426B  XCOPC(XMSG-SYMBOL-LIST)
123431B  XCOPY(XMSG-SYMBOL-LIST)
123625B  MFDUM(XMSG-SYMBOL-LIST)
123647B  MFDCT(XMSG-SYMBOL-LIST)
124035B  MFSMC(XMSG-SYMBOL-LIST)
124122B  MFGET(XMSG-SYMBOL-LIST)
124224B  MFALM(XMSG-SYMBOL-LIST)
124344B  MFFRM(XMSG-SYMBOL-LIST)
124423B  MFDMM(XMSG-SYMBOL-LIST)
124467B  MFDUB(XMSG-SYMBOL-LIST)
124520B  MFREL(XMSG-SYMBOL-LIST)
124532B  MFSCM(XMSG-SYMBOL-LIST)
124552B  MFLMP(XMSG-SYMBOL-LIST)
124675B  MFRHD(XMSG-SYMBOL-LIST)
124722B  MFWHD(XMSG-SYMBOL-LIST)
124760B  XFCHK(XMSG-SYMBOL-LIST)
125005B  MFDBK(XMSG-SYMBOL-LIST)
125066B  MXRRE(XMSG-SYMBOL-LIST)
125072B  MFREA(XMSG-SYMBOL-LIST)
125133B  MXWRT(XMSG-SYMBOL-LIST)
125147B  MFWRI(XMSG-SYMBOL-LIST)
125237B  MFOPN(XMSG-SYMBOL-LIST)
125301B  MFCLS(XMSG-SYMBOL-LIST)
125342B  MFRTN(XMSG-SYMBOL-LIST)
125346B  XSAVE(XMSG-SYMBOL-LIST)
125374B  MFSND(XMSG-SYMBOL-LIST)
125672B  MFWRT(XMSG-SYMBOL-LIST)
125714B  MCWRT(XMSG-SYMBOL-LIST)
125745B  MFSFM(XMSG-SYMBOL-LIST)
126041B  MFCRR(XMSG-SYMBOL-LIST)
126057B  MFRRE(XMSG-SYMBOL-LIST)
126064B  MFRRH(XMSG-SYMBOL-LIST) / MFRCV(XMSG-SYMBOL-LIST)
126152B  MFPST(XMSG-SYMBOL-LIST)
126172B  MFMST(XMSG-SYMBOL-LIST)
126326B  MCRRE(XMSG-SYMBOL-LIST)
126354B  MFGST(XMSG-SYMBOL-LIST)
126507B  MFGSM(XMSG-SYMBOL-LIST)
126646B  MFPRV(XMSG-SYMBOL-LIST)
126742B  MFSIN(XMSG-SYMBOL-LIST)
126745B  MFABR(XMSG-SYMBOL-LIST)
126776B  MFM2P(XMSG-SYMBOL-LIST)
127051B  MFP2M(XMSG-SYMBOL-LIST)
127113B  MFCPV(XMSG-SYMBOL-LIST)
127210B  MFCRD(XMSG-SYMBOL-LIST)
127303B  MFSTD(XMSG-SYMBOL-LIST)
127343B  MFWDF(XMSG-SYMBOL-LIST)
127361B  ZFCHN(XMSG-SYMBOL-LIST)
127367B  MFMRT(XMSG-SYMBOL-LIST)
127610B  INK01(XMSG-SYMBOL-LIST)
127613B  XDFUN(XMSG-SYMBOL-LIST)
130006B  YTINI(XMSG-SYMBOL-LIST)
130046B  YMSWP(XMSG-SYMBOL-LIST)
