CUSED 0x5a86
GDEFD 0x5ab3
GUSAC 0x5b0a
GSYSI 0x5b60
FOBJB 0x5b73
ROBJE 0x5b76
WOBJE 0x5be8
ROBJB 0x5cc7
GOBJI 0x5cd6
TSTPR 0x5d91
SEPOB 0x5da5
GFILI 0x5e7b
DIRUN 0x5f45
GPREV 0x5f57
GNEXV 0x5f77
GVERS 0x5f97
GFIAC 0x5ff9
NS5DP 0x6000
DLSPA 0x6067
DLPAG 0x6069
GFILN 0x6180
XDEAB 0x6216
MDEAB 0x6224
IDEAB 0x622f
SDEAB 0x6239
DEABB 0x6241
REMCH 0x6329
COBJE 0x6342
SHRIN 0x63dd
JNALL 0x6431
CHNUS 0x6486
INSUS 0x64cc
RMVAL 0x656e
RMUSF 0x65be
CPUST 0x6612
CNEWV 0x66cb
CHIGV 0x66cd
CROBJ 0x67d6
NIPIT 0x6800
DLOBJ 0x6866
CRNEW 0x6908
GCFIL 0x69b8
FFILE 0x6a64
FOFT 0x6c3a
SOFT 0x6c53
TER20 0x6d4c
OFRND 0x6ddd
FCON 0x6e02
TST22 0x6f0e
FOPEN 0x6f1a
SPCLO 0x6f7a
XFCLO 0x6f82
FCLOS 0x6f8a
CHECP 0x6fde
FCL1 0x6ffa
FCL2 0x705a
STDUO 0x730b
GBUF 0x7311
GBUFS 0x7313
RBUF 0x73f9
RBYTE 0x740c
RMAXB 0x740e
SBLOP 0x743a
DOPSC 0x7471
OPSCR 0x7473
SBLSZ 0x74e9
SETPO 0x7535
SMAXB 0x7590
SBYTE 0x7592
CPFIL 0x7642
NDTPI 0x7800
ACLEA 0x787f
INSQB 0x78ce
GPUPI 0x7923
DFPAG 0x7948
GPCOP 0x794b
GPREA 0x794e
GPADR 0x7951
WBACK 0x7c0b
MASKE 0x7c1f
GPAGE 0x7c85
REBUF 0x7e00
WRBUF 0x7e98
FREA 0x7f62
RNGCL 0x7ff8
PCRMA 0x7fff
FWRT 0x8058
FDREA 0x8176
FDWRT 0x8178
FOPTB 0x8223
INCTS 0x8250
DECTS 0x8257
INENT 0x827f
DEENT 0x8281
CHDUO 0x82c3
XCSGM 0x82f9
CHSGM 0x82fb
TSEGN 0x8329
CHLDN 0x835f
RPAGE 0x83c7
WPAGE 0x83c9
RDISK 0x8411
WDISK 0x8413
RFILE 0x8458
WFILE 0x845a
FGET 0x854f
FPUT 0x8595
DOPEN 0x8616
SCROP 0x8619
OPFIL 0x861c
OLDOP 0x861f
BCLOS 0x86e8
SPERM 0x86eb
CLOFI 0x86ed
SETUP 0x870f
WCI 0x8733
SETW 0x8782
SMAX 0x87c6
SETBY 0x87d0
SETBC 0x87dd
SBSIZ 0x87ea
RMAX 0x87f7
REABT 0x8805
MROBJ 0x881d
DROBJ 0x881f
DWOBJ 0x8908
MRUSE 0x8a08
MUIDI 0x8a0a
GUSNA 0x8ac1
GUIOI 0x8b1a
SFACC 0x8b6a
EXPFI 0x8b6d
CRALN 0x8b70
CRALF 0x8b72
SETTF 0x8c23
STEFI 0x8c2a
