MNBSI 0x9c5
MNFRE 0x9c6
MNNBT 0x9c7
MNACT 0x9c8
10SVB 0x9c9
PMNTA 0x9ca
CURNO 0x9cb
MTMAX 0x9cc
2ISTA 0x9cd
2DFOP 0x9ce
2BUFS 0x9cf
2TRMO 0x9d0
MTFRE 0x9d1
MTIRF 0x9d2
MTMAS 0x9d3
BMTDF 0x9d4
MTMBW 0x9d5
MBBNK 0x9d6
MBADR 0x9d7
MBLAD 0x9d8
MBPNO 0x9d9
MTIBS 0x9da
MTOBS 0x9db
MTIMA 0x9dc
MTOMA 0x9dd
3GLOG 0x9de
9EXRE 0x9df
9ESSA 0x9e0
9EARE 0x9e1
9EDRE 0x9e2
9EBRE 0x9e3
MRTRG 0x9e4
MRXRE 0x9e5
MELRT 0x9e6
MRCPL 0x9e7
MRFIR 0x9e8
9MOCO 0x9e9
9IHEN 0x9ea
M2MEX 0x9f2
MXRET 0xa03
9OHEN 0xa08
FMORE 0xa17
LOFFA 0xa24
9HNTC 0xa26
LONAL 0xa2b
B14 0xa2d
X9HNT 0xa2e
TRTLD 0xa3e
RPTPH 0xa40
MPTPH 0xa41
IPTPH 0xa42
RTWFP 0xa43
YBCSE 0xa44
MXDVB 0xa45
DVBFP 0xa46
MXTAD 0xa47
MXBAT 0xa48
MXSPO 0xa49
MXBPR 0xa4a
MXTBP 0xa4b
MXSDB 0xa4c
MX5PR 0xa4d
MXRFA 0xa4e
SPQSS 0xa4f
SISYS 0xa50
MXALL 0xa51
MXX21 0xa52
5FUDM 0xa53
MXSYM 0xa54
SGADP 0xa55
EXUNA 0xa56
N1PRS 0xa57
N2PRS 0xa58
N1SGC 0xa59
N2SGC 0xa5a
N1SGS 0xa5b
N2SGS 0xa5c
PWRFR 0xa5d
ERUCL 0xa5e
PTBAS 0xa5f
DAYEA 0xa64
DAMON 0xa68
GTSLP 0xa6b
ADDYE 0xa74
ADDMO 0xa75
PERIO 0xa76
HDAYE 0xa77
DAYES 0xa78
HOURS 0xa79
SECON 0xa7a
HDAY2 0xa7b
SEC2 0xa7c
PX9CL 0xa7d
PX8CL 0xa7e
TSTBA 0xa7f
X9CL0 0xa80
X9CL1 0xa81
X9CL2 0xa82
X9CL3 0xa83
X9CL4 0xa84
X9CL5 0xa85
X9CL6 0xa86
X9CL7 0xa87
PPXCL 0xa88
PPX3C 0xa89
XCLNU 0xa8a
XCLUN 0xa8b
DXCLU 0xa8c
PLXCL 0xa8e
MBFXC 0xa90
FXCTA 0xa91
EFXCT 0xa92
PAGPN 0xa93
MBMEM 0xa94
MEMAR 0xa95
MEMTY 0xa96
NBUSC 0xa97
FPIMP 0xa98
CMCLG 0xa99
MCLGB 0xa9a
TNMCA 0xa9b
MCLGF 0xa9c
MCLGP 0xa9d
MCLGO 0xa9e
EGURS 0xa9f
SVTXT 0xaad
CXRBG 0xab1
ACCSE 0xab3
SPLMO 0xab6
SALMO 0xaba
TCNTI 0xac2
MBCAC 0xac3
CACHI 0xac4
TRR11 0xac5
TRR12 0xac6
DTMTD 0xac7
TYPET 0xac8
RBPUT 0xad8
TDBPU 0xaef
DBPUT 0xaf3
TMCTA 0xb10
TDBGE 0xb24
DBGET 0xb28
RWGET 0xb51
RWPUT 0xb65
TDWPU 0xb7d
MCTAB 0xb90
TDWGE 0xb97
BIDBP 0xbb0
BIDBG 0xbba
PPWFA 0xbc6
PCOLD 0xbcf
PRESY 0xbd2
START 0xc41
MPPTA 0xc90
8RT2 0xce4
BRK0 0xd10
CCHNS 0xd15
BRK1 0xd18
BRK2 0xd20
BRK3 0xd28
BRK4 0xd30
BRK5 0xd38
BRK6 0xd40
ECH0 0xd48
CPYTU 0xd4a
ECH1 0xd50
ECH2 0xd58
ECH3 0xd60
ECH4 0xd68
ECH5 0xd70
ECH6 0xd78
CPYCS 0xd7a
BRKTB 0xd80
ECHTB 0xd88
LOGDB 0xd90
NONTT 0xd91
TTMWA 0xd92
ONTTM 0xd93
MBSPR 0xd94
ASBPR 0xd95
AEBPR 0xd96
AEPRV 0xd97
MBPRV 0xd98
APRVT 0xd99
NACTI 0xd9a
NLEGU 0xd9b
PRFLA 0xd9c
TSLTU 0xd9d
TSLSY 0xd9e
TSLLO 0xd9f
TSLHT 0xda0
TSLHA 0xda1
DFPTS 0xda2
LPTSL 0xda3
TSLBR 0xda4
XQCOP 0xdaa
TSLES 0xdb4
TSLLP 0xdc4
TSLPR 0xdd4
STESC 0xe12
TSLTI 0xe14
ESCAP 0xe28
TSLNE 0xe54
9EIOB 0xe90
SCSTA 0xe94
GLTMB 0xea4
DTSLP 0xea5
GTSLT 0xea6
ACTAB 0xea7
IOACT 0xea8
DSDEF 0xea9
TRMDE 0xeaa
DEMSV 0xeab
PIRSV 0xeac
OLDL 0xead
OLDH 0xeae
PIPPA 0xeaf
PIPAG 0xeb0
PIMPA 0xeb1
IL10Q 0xeb3
IL11Q 0xeb4
IL12Q 0xeb5
SINEC 0xeb6
PDVNO 0xeb7
PDUNO 0xeb8
SSECN 0xeb9
UCLOA 0xeba
PWRFL 0xebb
PWSMS 0xebc
NMAA1 0xebe
NMAA2 0xebf
SMAA1 0xec0
SMAA2 0xec1
ABTBN 0xec2
ABTST 0xec3
ABTSI 0xec4
ABTPU 0xec5
ABTGE 0xec6
NCPUT 0xec7
NUCSU 0xec8
NUBYT 0xec9
XSERV 0xeca
MFXMS 0xece
OCTIC 0xed9
OCTOC 0xedd
XMSGA 0xedf
MBPOO 0xee1
MBFRE 0xee2
FOMD 0xee3
LOMD 0xee4
FIDEN 0xee5
OBSIZ 0xee6
SAVPI 0xee7
ESVAR 0xee8
ZXCOM 0xee9
ZXRES 0xef1
ZXRRS 0xf03
ZXTRS 0xf15
P2XMS 0xf24
XPFAD 0xf2f
DRXMS 0xf32
XMSGY 0xf4e
ZXR14 0xf6e
MERRC 0xf78
ETRIP 0xf80
MCLR 0xfef
CLBUF 0xff3
SCCLD 0xffa
MONAB 0xffc
NUPIA 0x1000
ENPCA 0x101e
DISPC 0x102d
DISMC 0x1034
ENMCA 0x1044
DISCA 0x104f
ENACA 0x1051
FFPCA 0x1081
9E5SG 0x1090
FLPCA 0x109d
DOWNP 0x10c1
UPPOW 0x10c3
CXLOC 0x10c6
CXULO 0x10c9
RETRT 0x10d3
RETXI 0x10d5
ABRET 0x10d7
RETST 0x10d9
RETRW 0x10db
M61RE 0x10dd
RET 0x10e1
LOGPH 0x10fe
RESER 0x1128
RELEA 0x1131
LOCK 0x1140
UNLOC 0x1146
BRESE 0x1173
BRELE 0x1188
9ERFS 0x1190
9SGNU 0x11d0
TOEXQ 0x11e4
TOWQU 0x11f0
SERVA 0x11fb
MTNKD 0x120b
FREXQ 0x120e
MTNKP 0x1212
MTSRE 0x1213
FRWQU 0x1215
MTSPA 0x1223
BCONS 0x122c
BCIND 0x122d
B5TU1 0x122e
B5TU2 0x122f
BCD1T 0x1230
BCD2T 0x1231
BVALU 0x1232
BXVAL 0x1233
BCBYT 0x1234
CCBPT 0x1235
CBPRF 0x1236
CBBPR 0x1237
CTTMC 0x1238
CBPLO 0x1239
ACTMP 0x123a
MPERF 0x123b
M13FR 0x123c
M2FRE 0x123d
BUFRE 0x123e
XBUFR 0x123f
TTIMQ 0x1240
BUFPA 0x1241
MBUFX 0x1242
XBUFP 0x1243
XBUBA 0x1244
NPRIA 0x1245
DBUPH 0x1246
MPHME 0x1248
M344B 0x1249
M344F 0x124a
DFMPE 0x124b
FTIMQ 0x1264
XC5CP 0x126f
CMSGA 0x1270
DDFAD 0x1271
NWAIT 0x1272
5MFNC 0x1273
DISID 0x1274
CUREL 0x1275
READY 0x1276
5MWQU 0x1277
5DSKC 0x1279
CNBAN 0x127a
CNSTA 0x127b
XTRAN 0x127c
GOVEC 0x127d
RETVE 0x1297
DBTRA 0x129e
N5CPU 0x12a7
NSAMS 0x12a8
5FPFU 0x12a9
5FPAC 0x12aa
ATRAN 0x12ab
5SWPR 0x12ac
5SSEG 0x12ad
BMMSI 0x12ae
DUMME 0x12af
N5MES 0x12b0
IMBDT 0x12b1
IBMLR 0x12b3
5SWES 0x12b4
5SWEM 0x12be
PENT0 0x12c0
ANTIJ 0x12ca
RESAJ 0x12ee
5FP5F 0x133e
5NP5F 0x133f
5DVBS 0x1340
5DVBE 0x1341
5DVBW 0x1342
5DVBF 0x1346
XSEMS 0x1347
WEMSE 0x1359
LMDF 0x135f
CHRLI 0x1362
CHLIM 0x1364
LMFIE 0x1365
CPU51 0x1385
CPU52 0x138c
CPU53 0x1393
CPU54 0x139a
NNTAB 0x13a1
RTENT 0x13a7
ENNTA 0x13b5
MNJTA 0x13b6
MNTTA 0x13cb
RNTTA 0x13e5
5NTTA 0x13f3
MNCTA 0x13fb
DSEGS 0x1400
CXRTA 0x1415
RNCTA 0x1422
CXXRT 0x1425
5NCTA 0x1432
DUMMY 0x1439
9FLEX 0x143c
STSIN 0x144f
RTERR 0x1465
1SWAP 0x147b
9ERRA 0x1481
9ERR 0x1488
TIMRT 0x1491
9FLEB 0x14a3
RTDIL 0x14a7
DIMWD 0x14bd
9FLEA 0x14cd
BPTMP 0x14d3
9FLER 0x14d5
RTSLI 0x14e9
ACCRT 0x14ff
TERMP 0x1515
5SWAP 0x152b
RWRT1 0x1541
RWRT2 0x1557
NW9ER 0x155c
RWRT3 0x156d
RWRT5 0x1583
RWRT7 0x1599
RWRT8 0x15af
CHPCR 0x15bb
EFYLL 0x15c4
RWRT9 0x15c5
RTRFA 0x15db
DUMM2 0x15f1
9XFLE 0x1606
SPRT1 0x1607
DOSRB 0x1615
DOLRB 0x1619
SPRT2 0x161d
SET5N 0x1620
SPRT3 0x1633
EDINB 0x163d
SPRT4 0x1649
SPRT5 0x165f
SPRT6 0x1675
SPRT7 0x168b
XCREA 0x168e
SPRT8 0x16a1
RSATE 0x16a4
SPRT9 0x16b7
SPR10 0x16cd
SPR11 0x16e3
DOLVE 0x16ea
PFENT 0x16f3
DOENT 0x16f5
SPR12 0x16f9
RESCF 0x1700
SPR13 0x170f
SPR14 0x1725
SPR15 0x173b
SPR16 0x1751
DOREM 0x1756
COSPO 0x1767
RTACT 0x176a
XSETU 0x1779
MXSET 0x177a
RWR10 0x177d
SETPA 0x1785
RWR11 0x1793
2BDUM 0x1799
2BDBR 0x179d
2BSRE 0x179f
2BREC 0x17a1
RWR12 0x17a9
RWR13 0x17bf
RWR20 0x17d5
RWR14 0x17eb
NFUPI 0x1800
RWR21 0x1801
RWR25 0x1817
TORTL 0x181e
RWR26 0x182d
RWR41 0x1843
MMEXI 0x184d
STUSE 0x1851
RWR42 0x1859
BABOR 0x1869
TADAD 0x186f
SREEC 0x1874
REEC 0x1876
9FPUD 0x1885
RCOM 0x1890
UDR02 0x189b
TOOPS 0x18a2
UDR03 0x18b1
GBRKD 0x18b3
UDR04 0x18c7
UDR05 0x18dd
UDR06 0x18f3
9LPUD 0x1909
XMACD 0x190b
XTRAC 0x191f
XMFID 0x1935
SBRKD 0x1948
NKSER 0x194b
NKNAM 0x1961
ERSWD 0x1977
PROMA 0x198d
EVMES 0x19a3
XSINS 0x19ac
SINEX 0x19b5
BOPCO 0x19b9
XMAIL 0x19be
MTSER 0x19cf
RTREC 0x19e5
ABADM 0x19e8
RTBES 0x19fb
9SYSS 0x1a00
GET1L 0x1a0b
PUT1L 0x1a0e
CHKAD 0x1b1d
3FILE 0x1b1e
BAPRO 0x1b33
TOUS 0x1b43
IER 0x1bd4
OBAER 0x1be3
JABOR 0x1bfa
BXBAP 0x1c03
CM144 0x1c26
CHMTA 0x1c33
CHNOT 0x1c3f
CMTNO 0x1c4b
MTCHK 0x1c5f
OPCAL 0x1cb2
EOPCA 0x1cc6
ERSYS 0x1cea
SMCAL 0x1d17
CSCAL 0x1d44
HXCOD 0x1d59
FILSY 0x1d71
EOPSY 0x1dad
ERMSG 0x1dcc
QERMS 0x1dce
SEGTX 0x1e20
MMLE 0x1e23
MENTR 0x1e25
PMRST 0x1e65
C2PIT 0x1e89
INTAB 0x1e94
P2CCC 0x1ec7
GBPIU 0x1ee3
9GTLO 0x1f17
FIBCK 0x1f39
GBTIN 0x1f4c
FPITS 0x1f78
XISWT 0x1f92
XISTA 0x1f94
XOSWT 0x1fa5
XOSTA 0x1fa7
BISWT 0x1fb8
BISTA 0x1fba
BOSWT 0x1fcd
BOSTA 0x1fcf
CXRES 0x1fe9
CBERS 0x1fef
MACTD 0x1fff
NFPIT 0x2000
SMATI 0x200c
RCTMO 0x201e
RCSDA 0x2041
RCCES 0x2061
RCSTY 0x2081
RBSCP 0x20a1
FILUS 0x20bc
CESCR 0x2100
GETFU 0x219c
SVRBL 0x21d0
CHLAM 0x21d9
COLAM 0x2220
CLLAM 0x223c
LAMDI 0x2260
LAMIN 0x226c
LAMEE 0x226e
LAMEN 0x2271
CXCFR 0x228e
CABLO 0x22b2
DMLPC 0x22d1
DMCLP 0x22e2
XRTEN 0x22f1
ISZRS 0x2302
XXMEN 0x230b
Z2PHY 0x232f
Z2USR 0x2353
ZDALT 0x237d
ZXS12 0x238e
ZXS13 0x2394
ACT12 0x239e
ACT13 0x23a7
STL12 0x23b2
STL13 0x23c0
ICHAI 0x23ce
OCHAI 0x23d5
TSTCH 0x23f6
DICHA 0x23fa
DOCHA 0x2405
INBX2 0x241b
MTCLD 0x2440
VDMAC 0x245f
FSEMA 0x246f
ESC5O 0x2483
5BABO 0x24ae
M5BAB 0x24cf
CALLR 0x24e3
R5PIT 0x2515
RMPIT 0x2519
RRPIT 0x251d
KICK5 0x2543
TER50 0x2547
IACT5 0x254c
ACTRD 0x254e
RSTAR 0x2552
IBMOV 0x2554
CLEAN 0x255b
MSINI 0x255d
5ERAC 0x255f
5PRAC 0x2561
5XGBU 0x2563
5GBUF 0x2565
5CONO 0x2567
X5MCS 0x256c
5MCST 0x256d
ITO50 0x2578
NNC01 0x258e
NNC02 0x25a7
NNC03 0x25b7
IFM50 0x25c4
FR5TM 0x25d4
NNC04 0x25e7
LOWAC 0x25f3
XLOWA 0x25f4
SETIO 0x25fd
NWREM 0x2600
EMONI 0x2611
OKMON 0x2615
MONIC 0x2618
MCCO 0x2624
TS3CO 0x263d
FSYSI 0x2641
X5DCN 0x2683
5CSET 0x26a2
L3STD 0x26b6
SPITM 0x26d0
9FBPR 0x26df
XNW5S 0x26ef
PNW5S 0x26f4
BAK02 0x26f5
NW5ST 0x26f7
INW5S 0x26f8
RLOCA 0x2700
BAK03 0x270b
BAK04 0x2721
NNT01 0x2723
NNJ04 0x272c
BAK05 0x2737
BAK06 0x274d
5RETU 0x275e
BAK07 0x2763
BAK08 0x2779
BAK09 0x278f
GCPUD 0x2794
BAK10 0x27a5
GETC5 0x27a7
RN5ST 0x27b2
WN5ST 0x27b8
BAK11 0x27bb
SLOCK 0x27c6
BAK12 0x27d1
BAK13 0x27e7
BAK14 0x27fd
N5PIT 0x2800
BAK15 0x2813
SUNLO 0x2821
BAK16 0x2829
BAK17 0x283f
F5DBH 0x2843
BAK18 0x2855
ENDCC 0x2858
