CIBUF 0x4850
COBUF 0x4855
GETAC 0x4864
ISIZE 0x4883
NKTRA 0x4884
PUTHE 0x4892
T1P01 0x4895
OSIZE 0x4899
PUT8 0x48a9
T1P02 0x48aa
GZTRE 0x48be
FDATA 0x48d7
PUT16 0x48da
PUT32 0x48ec
GET8 0x48fb
SERVS 0x4909
BRKM 0x4915
GET16 0x4923
REECE 0x492e
REECT 0x492f
GET32 0x4935
ABSWR 0x4945
SSSLE 0x4948
SSLEA 0x494a
ECHOM 0x4960
SMFIL 0x4963
ABSST 0x4969
T1P03 0x4984
ABSRE 0x498b
SETEV 0x4990
MSTTY 0x4996
MGTTY 0x4998
ABSLD 0x49ae
T1P04 0x49c5
GMESS 0x49cf
NOWAI 0x49e3
TNOWA 0x49e6
DKICK 0x49e7
ACCPE 0x4a01
T1P05 0x4a11
EXIOX 0x4a1f
TRANS 0x4a2b
ACONV 0x4a41
LSTC 0x4a4a
NKLOC 0x4a5c
RECEI 0x4a65
DRTDE 0x4a70
IPTCH 0x4a74
XPTCH 0x4a81
NKUNL 0x4a8c
PUTW 0x4a8f
MCLSA 0x4a90
CONTA 0x4a95
STOPA 0x4a9a
IGTCH 0x4a9c
TERMA 0x4a9f
XGTCH 0x4aa1
GETW 0x4aa7
ISTDV 0x4aac
OSTDV 0x4ab6
WACCP 0x4ab7
INIOS 0x4acf
TEECH 0x4ae2
NKRDE 0x4ae6
CTNMA 0x4b04
READE 0x4b0b
DSTEN 0x4b0f
RNMSG 0x4b1a
LPARP 0x4b37
REETE 0x4b43
VPARP 0x4b59
TETTO 0x4b5a
GNMSG 0x4b63
SELAR 0x4b7a
JWWCS 0x4b83
FREES 0x4b8f
GWAIT 0x4ba3
DLRET 0x4ba7
TDGET 0x4bb5
TTGET 0x4bb7
DIRWW 0x4bc1
NMOVW 0x4bc2
ASKAR 0x4bd9
LEGSC 0x4bf5
JRWCS 0x4bf9
NFU00 0x4c00
55DLR 0x4c01
GSGAN 0x4c10
TTWGE 0x4c21
5DFRE 0x4c28
5DLRE 0x4c2a
GECHO 0x4c2c
55DFR 0x4c3d
CHRTD 0x4c42
DIRRW 0x4c44
DPREE 0x4c48
REEDU 0x4c4c
FINTA 0x4c54
IINTA 0x4c5a
NFU02 0x4c77
FDMTA 0x4c7b
CTRTO 0x4c7c
IDMTA 0x4c81
RUNSE 0x4c88
FDSTA 0x4c9b
JSTOM 0x4ca1
TFRST 0x4ca8
TFRSE 0x4cb2
NFU03 0x4cb6
TFRGE 0x4cbd
CONTM 0x4cc3
ITIMT 0x4cc4
RTIMT 0x4cc8
TRGET 0x4cd4
RSTDE 0x4cd9
BSTDE 0x4cdd
RESTM 0x4ce1
DTAPT 0x4ce6
CONCT 0x4cfb
ALIVE 0x4d06
CERR1 0x4d14
LDMAR 0x4d32
DSCNT 0x4d38
INORO 0x4d3a
LDMIR 0x4d54
NFU07 0x4d57
MTERM 0x4d5d
CRSRT 0x4d74
CRLRT 0x4d7e
RMIR 0x4d80
CRESE 0x4d88
DLREE 0x4d8d
IIDTA 0x4d8e
RIDTA 0x4d90
IEIDT 0x4d92
REIDT 0x4d94
BUSTE 0x4dac
T1P06 0x4db5
GTMOD 0x4dce
RAIB1 0x4dd2
RAIB3 0x4df4
GVSTR 0x4df6
SNUCL 0x4e0f
MCDES 0x4e10
MCEES 0x4e12
LAOB1 0x4e16
T1P07 0x4e2e
LAOB3 0x4e38
MGDAE 0x4e3a
BPOPE 0x4e3c
PROPE 0x4e3e
T1P08 0x4e44
USCNT 0x4e50
SYCNT 0x4e55
RASTS 0x4e5a
NRETM 0x4e5c
NCHBU 0x4e6e
STSUP 0x4e77
LDMOD 0x4e7c
RWLSG 0x4e85
ADUMP 0x4e94
ODUMP 0x4e96
LDCON 0x4e9e
WMPM 0x4ec0
LGPAG 0x4ec4
NURET 0x4ecd
BFY4I 0x4edf
RMPM 0x4ee7
N5FU0 0x4ef4
SETTR 0x4f0d
N5FU1 0x4f19
RSELF 0x4f36
N5FU2 0x4f37
BFY1I 0x4f55
ENKIC 0x4f56
NKBRE 0x4f60
5NFUN 0x4f61
5NMES 0x4f62
5NDIS 0x4f63
5MAXI 0x4f64
5NBSI 0x4f65
5NBLE 0x4f66
5UADD 0x4f67
5N1AD 0x4f69
5N2AD 0x4f6a
5NSTA 0x4f6b
5NBMO 0x4f6c
5NMBU 0x4f6d
N5FU3 0x4f6f
DISKI 0x4f74
IBACK 0x4f76
RBACK 0x4f78
BUFFT 0x4f92
BFTIO 0x4fb6
JSTAM 0x4fb8
MNOTI 0x4fcb
LOOPA 0x4fda
MNITI 0x4fe8
SAMSP 0x4ff8
NMPIT 0x5000
RESSA 0x5019
TESTM 0x5037
DURSU 0x503a
N5FU5 0x503b
N5FU6 0x5046
ENUCL 0x5053
DUMPC 0x507f
5SERV 0x5089
NURPR 0x508a
5OPCO 0x508b
DURPR 0x508e
MNCTI 0x50a5
1NURE 0x50ab
OPCOR 0x50bb
RPROM 0x50bd
5NURE 0x50c3
OPCOM 0x50ce
MNOST 0x50e2
MNIST 0x50eb
OCTOS 0x50f1
MTOTI 0x50f4
NCALL 0x5107
LIURP 0x5108
MTITI 0x510c
ERRS 0x5127
EROPC 0x5128
TFILE 0x512f
OPCFI 0x5132
DVSTR 0x5154
DFPRM 0x515b
UECHE 0x5164
MTOST 0x5176
MTIST 0x5183
MTIOS 0x5188
IMINI 0x519b
SAMCH 0x519e
IMEND 0x51b1
SETOL 0x51b6
COMSB 0x51bb
UECOM 0x51c1
IMPUT 0x51c6
IMGET 0x51c8
P2MPI 0x51ce
UELOG 0x51d6
WADR 0x5213
MYGTL 0x5216
WRDAT 0x521a
SMGFI 0x5220
RDATL 0x5226
REDAT 0x522a
WRTAG 0x524e
GETMA 0x5269
CR 0x526a
LOW5W 0x5274
RLPAG 0x527f
RELPA 0x52b6
RLSWM 0x52c2
RELAA 0x52f7
IOUT 0x52ff
RELAL 0x530e
RSIO 0x5318
PTOS3 0x531e
GBGSZ 0x532b
MBECH 0x533e
RELCB 0x536c
RELFT 0x537e
SINCO 0x5389
TRESP 0x5398
DLSGF 0x53b1
DEFSG 0x53b3
TSTPW 0x53bd
TSTPO 0x53d1
IOMTY 0x53e5
CHKST 0x53fb
TSBCL 0x5431
3COMT 0x543f
PRKEY 0x5473
TSTMC 0x549d
RATER 0x54d3
SCAPS 0x54ea
GCAPS 0x5505
SBRKM 0x553c
SECHO 0x5571
TSTPA 0x5586
CLRPH 0x55a7
CHPZE 0x55b8
GBRKM 0x55c1
CRBIN 0x55da
GGECH 0x55fa
SSTER 0x5628
WRMPM 0x562b
IIIOX 0x5641
RFIOX 0x5643
CHFTR 0x565c
LISCO 0x568e
MGTER 0x56a5
INB5F 0x56cb
SUNMO 0x56d1
GLOGD 0x5713
IN5FD 0x574b
CHSWP 0x5790
DISPL 0x5796
RCHDM 0x57b7
XCHDM 0x57bc
CHVAR 0x57bd
CHDME 0x57c1
NX5DP 0x5800
XCHPM 0x5817
CHPME 0x581c
SWDEN 0x5852
YCHKD 0x5872
XCHKD 0x5878
CHKDM 0x587e
ENTER 0x58d8
ILUTA 0x58e0
XCHAM 0x58e1
RLUTA 0x58e2
CHAME 0x58e6
DATA 0x5900
PGSTA 0x5904
LEAVE 0x591c
PGEND 0x5930
FENTR 0x5934
SV24S 0x5936
RENTR 0x5944
CHINS 0x5954
CHS3S 0x5977
SSDNU 0x597a
RLEAV 0x5988
FLEAV 0x5994
MNCNC 0x599b
CHRTC 0x599f
